"지역별(1)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"지역별(1)",계,30분미만,30분-2시간미만,2-4시간미만,4-6시간미만,6-8시간미만,8-12시간미만,12-24시간미만,24시간이상,미상/미입력
"전체",5117892,486595,1349233,569743,322479,218701,297182,502555,1314856,56548
"서울",1259797,121894,307434,127234,74648,52327,71742,125679,375456,3383
"부산",224924,15103,65888,27249,15058,8323,10511,19936,61129,1727
"대구",189583,14394,46280,22250,12326,7869,11687,21807,47362,5608
"인천",326577,31787,105478,36610,19899,13459,18486,27852,72592,414
"광주",158269,16136,33791,20395,11014,7090,10174,15093,43882,694
"대전",190989,21327,47658,21338,12102,8268,11303,18894,48563,1536
"울산",80018,5685,21460,9445,5137,3306,4410,11879,18689,7
"경기",1245029,112453,339319,140582,80375,55344,75576,125722,300545,15113
"강원",182124,17090,42459,19546,10942,7260,9831,17741,48116,9139
"충북",112216,14148,33127,11522,6565,4570,5664,10126,26246,248
"충남",208899,19708,58516,23836,13561,9227,12645,19629,45916,5861
"전북",158063,13821,39550,18379,10238,6787,8813,15378,43206,1891
"전남",107244,12003,28639,12838,7242,4988,6475,9684,25158,217
"경북",264354,31129,76560,30678,16712,11262,15328,24748,56568,1369
"경남",262941,22193,60734,30360,16897,11960,15228,24861,72323,8385
"제주",146865,17724,42340,17481,9763,6661,9309,13526,29105,956
